file,variable,type,allowed_values,description
dataset.csv,sample_id,integer,1 to 12011 (unique),"Unique identifier for each image-hashtag pair. One row = one (image, hashtag) pair."
dataset.csv,post_id,string,"e.g. ai_0001.png","Filename of the source Instagram image in images/. Prefix denotes the collection domain/keyword (e.g. ai, travel, kpop); multiple pairs may share the same post_id."
dataset.csv,hashtag,string,"Korean or English text, usually prefixed with #","A single hashtag associated with the image. Evaluated for semantic consistency against the image."
dataset.csv,label,integer,"1, 2, 3, 4, 5","Semantic consistency score. 1=very low, 2=low, 3=medium, 4=high, 5=very high relevance between the hashtag and the image. Human-readable 1-5 scale."
dataset_with_en.csv,sample_id,integer,1 to 12011 (unique),"Same as in dataset.csv."
dataset_with_en.csv,post_id,string,"e.g. ai_0001.png","Same as in dataset.csv."
dataset_with_en.csv,hashtag,string,"Korean or English text, usually prefixed with #","Same as in dataset.csv (original Korean hashtag)."
dataset_with_en.csv,hashtag_en,string,"English text","English translation of the hashtag, provided only to help non-Korean readers. NOT used for model training."
dataset_with_en.csv,label,integer,"1, 2, 3, 4, 5","Same as in dataset.csv."
folds.csv,sample_id,integer,1 to 12011 (unique),"Same as in dataset.csv. Join key to dataset.csv."
folds.csv,post_id,string,"e.g. ai_0001.png","Same as in dataset.csv. Grouping key for StratifiedGroupKFold (no post_id spans two folds)."
folds.csv,label,integer,"0, 1, 2, 3, 4","0-INDEXED label used for model training (= dataset.csv label minus 1). 0=very low ... 4=very high. Converted for PyTorch cross-entropy; see note in codebook."
folds.csv,fold,integer,"0, 1, 2, 3, 4","Cross-validation fold assignment (5-fold). Generated by src/make_folds.py using StratifiedGroupKFold grouped by post_id."
